Campaign,Date Sent,Email abuse report rate,Email abuse reports,Email bounce rate,Email bounces,Email click rate,Email clicked,Email clicks per unique opens (MPP excluded),Email deliveries,Email delivery rate,Email open rate (MPP excluded),Email opened (MPP excluded),Email total clicks,Email total opens (MPP excluded),Email unsubscribe rate,Email unsubscribes,Emails sent
"DFW Test 1","2026-01-30 15:25:50","0%","0","33.3%","1","0%","0","0%","2","66.7%","50%","1","0","5","0%","0","3"
"DFW Test 1 (copy 01)","2026-01-30 15:49:54","0%","0","0%","0","0%","0","0%","1","100%","100%","1","0","12","0%","0","1"
"TEXT TEST 1","2026-02-01 08:40:02","0%","0","0%","0","0%","0","0%","8","100%","0%","0","0","0","0%","0","8"
"MARYLAND WU 2026-2-2 CAMERON GILBERT","2026-02-02 07:00:00","0%","0","0%","0","0%","0","0%","6","100%","16.7%","1","0","1","0%","0","6"
"MARYLAND WU 2026-2-2 EMILY HERDER","2026-02-02 07:45:00","0%","0","0%","0","0%","0","0%","2","100%","50%","1","0","2","0%","0","2"
"DFW WU 2026-02-02","2026-02-02 08:45:00","0%","0","10%","1","0%","0","0%","9","90%","0%","0","0","0","0%","0","10"
"Test 1","2026-02-03 06:18:54","0%","0","0%","0","0%","0","0%","1","100%","100%","1","0","1","0%","0","1"
"Test 2","2026-02-03 06:24:10","0%","0","0%","0","0%","0","0%","1","100%","100%","1","0","16","0%","0","1"
"Test 3","2026-02-03 06:46:13","0%","0","0%","0","0%","0","0%","1","100%","100%","1","0","7","0%","0","1"
"MARYLAND WU 2026-2-3 EMILY HERDER","2026-02-03 07:15:00","0%","0","16.7%","1","0%","0","0%","5","83.3%","0%","0","0","0","0%","0","6"
"MARYLAND WU 2026-2-3 CAMERON GILBERT","2026-02-03 07:30:00","0%","0","0%","0","0%","0","0%","6","100%","66.7%","4","0","6","16.7%","1","6"
"DFW WU 2026-02-03","2026-02-03 08:45:00","0%","0","0%","0","0%","0","0%","14","100%","0%","0","0","0","7.1%","1","14"
"ATLANTA WU 2026-2-4","2026-02-04 07:15:00","0%","0","0%","0","0%","0","0%","7","100%","14.3%","1","0","1","0%","0","7"
"MARYLAND WU 2026-2-4 EMILY HERDER","2026-02-04 07:30:00","0%","0","0%","0","0%","0","0%","7","100%","71.4%","5","0","9","0%","0","7"
"MARYLAND WU 2026-2-4 CAMERON GILBERT","2026-02-04 08:00:00","0%","0","11.1%","1","0%","0","0%","8","88.9%","37.5%","3","0","5","0%","0","9"
"DFW WU 2026-02-04","2026-02-04 08:45:00","0%","0","5.6%","1","0%","0","0%","17","94.4%","0%","0","0","0","0%","0","18"
"MARYLAND WU 2026-2-5 EMILY HERDER","2026-02-05 07:00:00","0%","0","0%","0","0%","0","0%","11","100%","18.2%","2","0","2","9.1%","1","11"
"ATLANTA WU 2026-2-5","2026-02-05 07:15:00","0%","0","0%","0","0%","0","0%","11","100%","0%","0","0","0","0%","0","11"
"MARYLAND WU 2026-2-5 CAMERON GILBERT","2026-02-05 07:15:00","0%","0","11.1%","1","0%","0","0%","8","88.9%","25%","2","0","2","0%","0","9"
"DFW WU 2026-02-05","2026-02-05 08:45:00","0%","0","9.1%","2","0%","0","0%","20","90.9%","0%","0","0","0","0%","0","22"
"MARYLAND WU 2026-2-6 EMILY HERDER","2026-02-06 07:30:00","0%","0","0%","0","0%","0","0%","10","100%","20%","2","0","2","0%","0","10"
"DFW WU 2026-02-06","2026-02-06 08:00:00","0%","0","7.7%","2","0%","0","0%","24","92.3%","0%","0","0","0","0%","0","26"
"ATLANTA WU 2026-2-6","2026-02-06 08:15:00","0%","0","0%","0","0%","0","0%","14","100%","28.6%","4","0","4","0%","0","14"
"MARYLAND WU 2026-2-6 CAMERON GILBERT","2026-02-06 19:15:00","0%","0","7.1%","1","0%","0","0%","13","92.9%","23.1%","3","0","3","0%","0","14"
"MARYLAND WU 2026-2-7 CAMERON GILBERT","2026-02-07 07:30:00","0%","0","0%","0","0%","0","0%","13","100%","38.5%","5","0","7","0%","0","13"
"ATLANTA WU 2026-2-7","2026-02-07 07:45:00","0%","0","11.8%","2","0%","0","0%","15","88.2%","0%","0","0","0","0%","0","17"
"MARYLAND WU 2026-2-7 EMILY HERDER","2026-02-07 07:45:00","0%","0","0%","0","0%","0","0%","15","100%","33.3%","5","0","6","0%","0","15"
"Test","2026-02-07 08:30:13","0%","0","0%","0","0%","0","0%","1","100%","100%","1","0","1","0%","0","1"
"DMV WU 2026-2-7","2026-02-07 08:41:27","0%","0","0%","0","0%","0","0%","9","100%","0%","0","0","0","0%","0","9"
"DFW WU 2026-02-07","2026-02-07 09:00:00","0%","0","6.5%","2","0%","0","0%","29","93.5%","0%","0","0","0","0%","0","31"
"DC Test 1","2026-02-08 13:58:07","0%","0","0%","0","0%","0","0%","1","100%","100%","1","0","1","0%","0","1"
"Subject Line A/B","2026-02-09 07:00:00","0%","0","0%","0","0%","0","0%","20","100%","15%","3","0","3","10%","2","20"
"Subject Line A/B | Combo 1","2026-02-09 07:00:00","0%","0","0%","0","0%","0","0%","10","100%","10%","1","0","1","10%","1","10"
"Subject Line A/B | Combo 2","2026-02-09 07:00:00","0%","0","0%","0","0%","0","0%","10","100%","20%","2","0","2","10%","1","10"
"WU DC 2026-2-9","2026-02-09 07:45:00","0%","0","0%","0","0%","0","0%","10","100%","40%","4","0","6","0%","0","10"
"DMV WU 2026-2-9","2026-02-09 08:00:00","0%","0","0%","0","0%","0","0%","16","100%","43.8%","7","0","26","0%","0","16"
"DFW WU 2026-2-9","2026-02-09 12:30:00","0%","0","3.0%","1","0%","0","0%","32","97.0%","0%","0","0","0","0%","0","33"
"MARYLAND WU 2026-2-9 CAMERON GILBERT","2026-02-09 12:45:00","0%","0","5.9%","1","0%","0","0%","16","94.1%","37.5%","6","0","6","0%","0","17"
"MARYLAND WU 2026-2-9 EMILY HERDER","2026-02-09 13:28:14","0%","0","6.7%","1","0%","0","0%","14","93.3%","57.1%","8","0","8","0%","0","15"
"ATLANTA WU 2026-2-9","2026-02-09 16:30:00","0%","0","0%","0","0%","0","0%","18","100%","11.1%","2","0","2","5.6%","1","18"
"Test","2026-02-09 17:49:44","0%","0","0%","0","0%","0","0%","1","100%","100%","1","0","1","0%","0","1"
"LA WU 2026-2-9","2026-02-09 18:00:00","0%","0","12.5%","1","0%","0","0%","7","87.5%","28.6%","2","0","3","0%","0","8"
"Test 2/10/26 1","2026-02-10 07:11:11","0%","0","0%","0","0%","0","0%","1","100%","0%","0","0","0","0%","0","1"
"ATLANTA WU 2026-2-10","2026-02-10 07:30:00","0%","0","0%","0","0%","0","0%","23","100%","26.1%","6","0","12","4.3%","1","23"
"WU DC 2026-2-10","2026-02-10 07:30:00","0%","0","0%","0","0%","0","0%","10","100%","30%","3","0","3","0%","0","10"
"DMV WU 2026-2-10","2026-02-10 07:45:00","0%","0","0%","0","0%","0","0%","16","100%","50%","8","0","11","0%","0","16"
"MARYLAND WU 2026-2-10 CAMERON GILBERT","2026-02-10 07:45:00","0%","0","9.5%","2","0%","0","0%","19","90.5%","63.2%","12","0","23","0%","0","21"
"MARYLAND WU 2026-2-10 EMILY HERDER","2026-02-10 08:00:00","0%","0","6.7%","1","0%","0","0%","14","93.3%","42.9%","6","0","8","0%","0","15"
"DFW WU 2026-2-10","2026-02-10 08:15:00","0%","0","5.4%","2","0%","0","0%","35","94.6%","0%","0","0","0","0%","0","37"
"LA WU 2026-2-10","2026-02-10 10:15:00","0%","0","0%","0","0%","0","0%","10","100%","50%","5","0","7","0%","0","10"
"ATLANTA WU 2026-2-11","2026-02-11 07:00:00","0%","0","0%","0","0%","0","0%","26","100%","19.2%","5","0","6","0%","0","26"
"WU DC 2026-2-11","2026-02-11 07:15:00","0%","0","10%","1","0%","0","0%","9","90%","66.7%","6","0","10","0%","0","10"
"DMV WU 2026-2-11","2026-02-11 07:30:00","0%","0","5.3%","1","0%","0","0%","18","94.7%","33.3%","6","0","11","5.6%","1","19"
"MARYLAND WU 2026-2-11 CAMERON GILBERT","2026-02-11 08:00:00","0%","0","10.5%","2","0%","0","0%","17","89.5%","35.3%","6","0","10","0%","0","19"
"MARYLAND WU 2026-2-11 EMILY HERDER","2026-02-11 08:00:00","0%","0","0%","0","0%","0","0%","21","100%","38.1%","8","0","28","4.8%","1","21"
"DFW WU 2026-2-11","2026-02-11 08:15:00","2.7%","1","9.8%","4","0%","0","0%","37","90.2%","0%","0","0","0","2.7%","1","41"
"LA WU 2026-2-11","2026-02-11 10:30:00","0%","0","8.3%","1","0%","0","0%","11","91.7%","36.4%","4","0","6","0%","0","12"
"ATLANTA WU 2026-2-12","2026-02-12 07:15:00","0%","0","0%","0","0%","0","0%","29","100%","31.0%","9","0","11","6.9%","2","29"
"DMV WU 2026-2-12","2026-02-12 07:30:00","0%","0","13.6%","3","0%","0","0%","19","86.4%","31.6%","6","0","13","0%","0","22"
"MARYLAND WU 2026-2-12 EMILY HERDER","2026-02-12 07:30:00","0%","0","8.8%","3","0%","0","0%","31","91.2%","25.8%","8","0","10","0%","0","34"
"WU DC 2026-2-12","2026-02-12 07:45:00","0%","0","0%","0","0%","0","0%","11","100%","45.5%","5","0","6","0%","0","11"
"MARYLAND WU 2026-2-12 CAMERON GILBERT","2026-02-12 08:00:00","0%","0","0%","0","0%","0","0%","26","100%","38.5%","10","0","16","0%","0","26"
"DFW WU 2026-2-12","2026-02-12 08:30:00","0%","0","8.9%","4","0%","0","0%","41","91.1%","0%","0","0","0","2.4%","1","45"
"LA WU 2026-2-12","2026-02-12 10:30:00","0%","0","7.1%","1","0%","0","0%","13","92.9%","61.5%","8","0","9","0%","0","14"
"DMV WU 2026-2-13","2026-02-13 07:15:00","0%","0","8.3%","2","0%","0","0%","22","91.7%","31.8%","7","0","8","0%","0","24"
"ATLANTA WU 2026-2-13","2026-02-13 07:30:00","0%","0","0%","0","0%","0","0%","32","100%","18.8%","6","0","6","12.5%","4","32"
"WU DC 2026-2-13","2026-02-13 07:30:00","0%","0","0%","0","0%","0","0%","13","100%","46.2%","6","0","6","7.7%","1","13"
"DFW WU 2026-2-13","2026-02-13 08:00:00","0%","0","2%","1","0%","0","0%","49","98%","0%","0","0","0","2.0%","1","50"
"MARYLAND WU 2026-2-13 CAMERON GILBERT","2026-02-13 08:00:00","0%","0","5.4%","2","0%","0","0%","35","94.6%","40%","14","0","16","2.9%","1","37"
"MARYLAND WU 2026-2-13 EMILY HERDER","2026-02-13 08:00:00","0%","0","2.9%","1","0%","0","0%","34","97.1%","41.2%","14","0","19","2.9%","1","35"
"LA WU 2026-2-13","2026-02-13 10:30:00","0%","0","6.3%","1","0%","0","0%","15","93.8%","33.3%","5","0","7","0%","0","16"
"ATLANTA WU 2026-2-14","2026-02-14 07:30:00","0%","0","8.6%","3","0%","0","0%","32","91.4%","37.5%","12","0","17","3.1%","1","35"
"DMV WU 2026-2-14","2026-02-14 07:30:00","0%","0","3.7%","1","0%","0","0%","26","96.3%","15.4%","4","0","8","0%","0","27"
"MARYLAND WU 2026-2-14 EMILY HERDER","2026-02-14 07:45:00","0%","0","7.3%","3","0%","0","0%","38","92.7%","44.7%","17","0","27","0%","0","41"
"WU DC 2026-2-14","2026-02-14 08:00:00","0%","0","6.7%","1","0%","0","0%","14","93.3%","42.9%","6","0","6","7.1%","1","15"
"MARYLAND WU 2026-2-14 CAMERON GILBERT","2026-02-14 08:15:00","0%","0","6.7%","3","0%","0","0%","42","93.3%","42.9%","18","0","21","2.4%","1","45"
"DFW WU 2026-2-14","2026-02-14 08:45:00","0%","0","5.7%","3","0%","0","0%","50","94.3%","0%","0","0","0","2%","1","53"
"LA WU 2026-2-14","2026-02-14 11:00:00","0%","0","11.1%","2","0%","0","0%","16","88.9%","25%","4","0","4","12.5%","2","18"
"MARYLAND WU 2026-2-16 CAMERON GILBERT","2026-02-16 07:30:00","0%","0","4.9%","4","0%","0","0%","77","95.1%","27.3%","21","0","24","3.9%","3","81"
"ATLANTA WU 2026-2-16","2026-02-16 07:45:00","0%","0","2.6%","1","0%","0","0%","37","97.4%","24.3%","9","0","14","0%","0","38"
"MARYLAND WU 2026-2-16 EMILY HERDER","2026-02-16 07:45:00","0%","0","0%","0","0%","0","0%","23","100%","26.1%","6","0","6","0%","0","23"
"NOVA 2026-2-16","2026-02-16 07:45:00","0%","0","3.3%","1","0%","0","0%","29","96.7%","13.8%","4","0","6","0%","0","30"
"WU DC 2026-2-16","2026-02-16 08:00:00","0%","0","5.9%","1","0%","0","0%","16","94.1%","37.5%","6","0","6","0%","0","17"
"DFW WU 2026-2-16","2026-02-16 08:45:00","0%","0","4.7%","3","0%","0","0%","61","95.3%","0%","0","0","0","1.6%","1","64"
"LA WU 2026-2-16","2026-02-16 10:45:00","0%","0","13.6%","3","0%","0","0%","19","86.4%","47.4%","9","0","10","5.3%","1","22"
"ATLANTA WU 2026-2-17","2026-02-17 07:00:00","0%","0","0%","0","0%","0","0%","41","100%","9.8%","4","0","9","4.9%","2","41"
"MARYLAND WU 2026-2-17 EMILY HERDER","2026-02-17 07:15:00","0%","0","2.4%","3","0%","0","0%","121","97.6%","30.6%","37","0","55","0.83%","1","124"
"NOVA 2026-2-17","2026-02-17 07:15:00","3.2%","1","8.8%","3","0%","0","0%","31","91.2%","38.7%","12","0","16","3.2%","1","34"
"WU DC 2026-2-17","2026-02-17 07:15:00","0%","0","0%","0","0%","0","0%","19","100%","36.8%","7","0","8","0%","0","19"
"DFW WU 2026-2-17","2026-02-17 08:15:00","0%","0","4.9%","3","0%","0","0%","58","95.1%","0%","0","0","0","0%","0","61"
"LA WU 2026-2-17","2026-02-17 10:15:00","0%","0","0%","0","0%","0","0%","26","100%","23.1%","6","0","6","0%","0","26"
"MARYLAND WU 2026-2-18","2026-02-18 07:00:00","0.69%","1","3.4%","5","0%","0","0%","144","96.6%","34.0%","49","0","57","2.8%","4","149"
"NOVA 2026-2-18","2026-02-18 07:15:00","0%","0","2.6%","1","0%","0","0%","37","97.4%","32.4%","12","0","12","8.1%","3","38"
"WU DC 2026-2-18","2026-02-18 07:15:00","0%","0","0%","0","0%","0","0%","19","100%","47.4%","9","0","13","0%","0","19"
"ATLANTA WU 2026-2-18","2026-02-18 08:00:00","0%","0","2.3%","1","0%","0","0%","43","97.7%","11.6%","5","0","5","2.3%","1","44"
"DFW WU 2026-2-18","2026-02-18 08:00:00","0%","0","6.2%","4","0%","0","0%","61","93.8%","0%","0","0","0","0%","0","65"
"LA WU 2026-2-18","2026-02-18 10:15:00","0%","0","3.1%","1","0%","0","0%","31","96.9%","22.6%","7","0","9","0%","0","32"
"MARYLAND WU 2026-2-19","2026-02-19 07:00:00","0%","0","3.4%","6","0%","0","0%","173","96.6%","36.4%","63","0","75","3.5%","6","179"
"NOVA 2026-2-19","2026-02-19 07:15:00","0%","0","2%","1","0%","0","0%","49","98%","26.5%","13","0","17","2.0%","1","50"
"WU DC 2026-2-19","2026-02-19 07:15:00","0%","0","3.8%","1","0%","0","0%","25","96.2%","72%","18","0","20","0%","0","26"
"ATLANTA WU 2026-2-19","2026-02-19 08:00:00","0%","0","0%","0","0%","0","0%","47","100%","14.9%","7","0","7","2.1%","1","47"
"DFW WU 2026-2-19","2026-02-19 08:00:00","0%","0","4.3%","3","0%","0","0%","66","95.7%","0%","0","0","0","0%","0","69"
"LA WU 2026-2-19","2026-02-19 10:00:00","0%","0","5%","2","0%","0","0%","38","95%","21.1%","8","0","11","2.6%","1","40"
"ATLANTA WU 2026-2-20","2026-02-20 04:30:00","0%","0","0%","0","0%","0","0%","50","100%","18%","9","0","11","4%","2","50"
"MARYLAND WU 2026-2-20","2026-02-20 07:00:00","0%","0","0.93%","2","0%","0","0%","213","99.1%","26.8%","57","0","72","1.4%","3","215"
"NOVA 2026-2-20","2026-02-20 07:15:00","0%","0","7.7%","5","0%","0","0%","60","92.3%","10%","6","0","8","1.7%","1","65"
"WU DC 2026-2-20","2026-02-20 07:15:00","0%","0","8.8%","3","0%","0","0%","31","91.2%","9.7%","3","0","4","6.5%","2","34"
"DFW WU 2026-2-20","2026-02-20 08:00:00","0%","0","6.8%","5","0%","0","0%","68","93.2%","0%","0","0","0","2.9%","2","73"
"LA WU 2026-2-20","2026-02-20 10:00:00","0%","0","0%","0","0%","0","0%","41","100%","24.4%","10","0","12","2.4%","1","41"
